제품고유번호,성분고유번호
469,179
469,52
469,47
469,127
469,87
469,464
469,42
469,131
469,463
470,1
470,45
470,3
470,5
470,54
470,28
470,52
470,68
470,47
470,127
470,87
470,42
470,131
471,1
471,45
471,3
471,5
471,54
471,28
471,52
471,68
471,47
471,127
471,87
471,42
471,131
472,1
472,45
472,3
472,5
472,54
472,28
472,52
472,68
472,47
472,127
472,87
472,42
472,131
492,55
493,1
493,4
493,292
493,201
493,254
493,294
493,3
493,185
493,258
493,121
493,477
493,478
494,1
494,226
494,266
494,213
494,254
494,47
494,3
494,185
494,258
494,121
494,477
494,478
495,482
495,3
495,479
495,317
495,83
495,138
495,313
495,481
495,478
496,1
496,87
496,292
496,480
496,52
496,479
496,3
496,71
496,138
496,477
496,478
496,313
496,46
497,1
497,237
497,272
497,267
497,273
497,274
497,268
497,275
497,276
497,277
498,1
498,87
498,127
498,52
498,268
498,267
498,266
498,139
498,271
498,269
498,137
498,270
499,1
499,1136
499,827
499,345
499,352
499,46
499,981
499,3
499,8
499,395
499,25
499,56
499,71
499,1180
499,58
499,1187
499,65
499,47
499,23
499,67
499,649
499,377
499,1188
499,135
499,124
499,321
499,122
499,5
499,527
500,1
500,1136
500,827
500,345
500,352
500,46
500,981
500,3
500,8
500,395
500,25
500,56
500,71
500,1180
500,58
500,1181
500,65
500,47
500,23
500,67
500,66
500,377
500,1188
500,135
500,124
500,321
500,122
500,5
500,1179
500,1189
501,1
501,45
501,56
501,383
501,3
501,827
501,71
501,949
501,190
501,1135
501,636
501,135
502,1
502,45
502,56
502,383
502,3
502,827
502,71
502,949
502,190
502,1135
502,636
502,135
503,1
503,150
503,151
503,3
503,235
503,236
503,18
503,119
503,140
503,145
503,237
504,1
504,130
504,238
504,105
504,235
504,236
504,18
504,119
504,140
504,145
504,237
505,1
505,203
505,348
505,129
505,235
505,645
505,236
505,82
505,647
505,646
505,119
505,140
505,145
508,45
508,981
508,92
508,3
508,71
508,56
508,1046
508,87
508,46
508,1
508,1047
509,45
509,981
509,87
509,43
509,92
509,206
509,46
509,1
509,1047
510,981
510,45
510,87
510,92
510,71
510,206
510,1046
510,46
510,1
510,1047
511,981
511,43
511,420
511,71
511,1048
511,56
511,87
511,1049
511,1046
511,46
511,1
511,1047
512,981
512,43
512,420
512,71
512,1048
512,56
512,87
512,1049
512,1046
512,46
512,1
512,1047
513,1
513,107
513,47
513,684
513,685
513,20
513,484
513,79
514,1
514,107
514,47
514,684
514,685
514,496
514,875
514,492
514,79
515,1
515,107
515,47
515,684
515,685
515,876
515,877
515,878
515,79
516,1
516,107
