고유번호,제품명,브랜드,카테고리,조회수,총별점,별점횟수,높은위험,중간위험,주의성분
178,클렌징워터,나떼쌍스(Natessance),워시,0,0,0,0,1,1
179,헤어앤바디샤워젤 스트로베리,나떼쌍스(Natessance),워시,0,0,0,0,1,1
180,꾸찌올로 베이비 다이아퍼 래쉬 크림,나뚜라하우스(NATURAHOUSE),크림,0,0,0,0,1,1
181,꾸찌올로 베이비 바디 앤 페이스 밀크,나뚜라하우스(NATURAHOUSE),로션,0,0,0,0,1,1
182,꾸찌올로 베이비 버블바쓰,나뚜라하우스(NATURAHOUSE),워시,0,0,0,0,1,1
183,꾸찌올로 베이비 샴푸,나뚜라하우스(NATURAHOUSE),헤어케어,0,0,0,0,1,1
184,베이비 마르세유 비누[라벤더향],나띵프로젝트(NAHTHINGPROJECT),워시,0,0,0,0,0,1
185,베이비 마르세유 비누[만다린향],나띵프로젝트(NAHTHINGPROJECT),워시,0,0,0,0,0,1
186,올인원 베이비 로션[베르가못],나띵프로젝트(NAHTHINGPROJECT),로션,0,0,0,0,0,1
187,올인원 베이비 워시[라벤더향],나띵프로젝트(NAHTHINGPROJECT),워시,0,0,0,0,0,1
188,올인원 베이비 워시[만다린향],나띵프로젝트(NAHTHINGPROJECT),워시,0,0,0,0,0,1
189,올인원 키즈 로션,나라마(narama),로션,0,0,0,0,1,1
190,올인원 키즈 썬스크린,나라마(narama),선케어,0,0,0,0,1,1
191,올인원 키즈 오일,나라마(narama),오일,0,0,0,0,1,1
192,올일원 키즈 워시,나라마(narama),워시,0,0,0,0,1,1
193,리프레싱 샴푸&배스젤,나오베이(NAOBAY),워시,0,0,0,0,1,1
194,릴렉싱 바디 오일,나오베이(NAOBAY),오일,0,0,0,0,0,0
195,배스버블 폼클렌저,나오베이(NAOBAY),워시,0,0,0,0,1,1
196,실키 바디로션,나오베이(NAOBAY),로션,0,0,0,0,1,1
197,컴포터블 다이아퍼크림,나오베이(NAOBAY),크림,0,0,0,0,1,1
198,프로텍티트 페이스크림,나오베이(NAOBAY),크림,0,0,0,0,1,1
199,너처링 크림,나이프(NAIF),크림,0,0,0,0,1,1
200,소프트닝 바디로션,나이프(NAIF),로션,0,0,0,0,1,1
201,그린더마 마일드 키즈 선쿠션,네이처리퍼블릭(NATUREREPUBLIC),선케어,0,0,0,0,1,1
202,러브 유 베이비 선쿠션,네이처리퍼블릭(NATUREREPUBLIC),선케어,0,0,0,0,1,1
203,유브이락 플라워 키즈 & 주니어 선크림,네이처리퍼블릭(NATUREREPUBLIC),선케어,0,0,0,1,1,1
204,순수자연유래 멀티밤,네이처벨르(NatureBelle),크림,0,0,0,0,0,1
205,순수자연유래 소프트 파우더 로션,네이처벨르(NatureBelle),로션,0,0,0,0,1,1
