고유번호,성분명(국문명),이명,영문명,CAS,배합용도,EWG등급,EWG데이터등급,EWG코드,알러지,호흡,피부,발달/생식,발암,눈,주의,비고,SLS/SLES,4급암모늄,향료,색소/형광,가습기
709,필리핀오렌지추출물,만다린추출물(Citrus Nobilis (Mandarin Orange) Fruit Extract),Citrus Nobilis (Mandarin Orange) Fruit Extract,,"착향제, 피부컨디셔닝제(기타)",A,C,AC,,,,,,,,,,,,,
710,버지니아풍년화수,위치하젤수(Hamamelis Virginiana (Witch Hazel) Water),Hamamelis Virginiana (Witch Hazel) Water,,피부컨디셔닝제(기타),A,C,AC,,,,,,,,,,,,,
711,꿀,,Honey,8028-66-8,계면활성제(세정제),A,A,AA,,,,,,,,,,,,,
712,무씨오일,,Raphanus Sativus (Radish) Seed Oil,84775-94-0,피부컨디셔닝제(유연제),,,,,,,,,,,,,,,,
713,소듐라우릴글루코사이드하이드록시프로필설포네이트,,Sodium Laurylglucosides Hydroxypropylsulfonate,,"계면활성제(세정제), 계면활성제(유화제), 계면활성제(거품촉진제), 계면활성제(친수제)",,,,,,,,,,,,,,,,
714,만다린오일,필리핀오렌지전초오일,Citrus Nobilis (Mandarin Orange) Oil,,착향제,A,C,AC,,,,,,,,,,,,,
715,라벤더꽃/잎/줄기추출물,영국라벤더꽃/잎/줄기추출물(Lavandula Spica (Lavender) Flower/Leaf/Stem Extract),Lavandula Angustifolia (Lavender) Flower/Leaf/Stem Extract;Lavandula Spica (Lavender) Flower/Leaf/Stem Extract,84776-65-8;90063-37-9,"감미제, 착향제, 피부컨디셔닝제(기타), 피부컨디셔닝제(수분차단제)",,,,R,,H317,,,,,,,,,,
716,별꽃추출물,Chickweed Extract;Stellaria Media Extract,Stellaria Media (Chickweed) Extract,90131-34-3,피부컨디셔닝제(기타),A,C,AC,,,,,,,,,,,,,
717,컴프리추출물,,Symphytum Officinale Extract,,피부컨디셔닝제(기타),A,C,AC,,,,,,,,유사EWG,,,,,
718,폴리아미노프로필바이구아나이드,"polihexanide (INN);Poly(hexamethylenebiguanide) hydrochloride;Poly[iminocarbonimidoyliminocarbonimidoylimino-1,6-hexanediyl], hydrochloride",Polyaminopropyl Biguanide,32289-58-0;133029-32-0,살균보존제,A,C,AC,,,H317,,H351,H318,,,,,,,
719,하이드록시프로필트리모늄하이드롤라이즈드밀단백질,"	하이드록시프로필트리모늄하이드롤라이즈드밀단백질 
하이드록시프로필트리모늄하이드롤라이즈드위트프로테인",Hydroxypropyltrimonium Hydrolyzed Wheat Protein,,"정전기방지제, 헤어컨디셔닝제, 피부컨디셔닝제(기타)",A,C,AC,,,,,,,,,,1,,,
720,장미추출물,Rosa Canina Extract,Rose Extract,84696-47-9,수분증발차단제,A,C,AC,,,,,,,,,,,,,
721,가시칠엽수추출물,마로니에추출물(Aesculus Hippocastanum (Horse Chestnut) Extract),Aesculus Hippocastanum (Horse Chestnut) Extract,,"산화방지제, 수렴제, 피부보호제, 피부컨디셔닝제(유연제)",A,C,AC,,,,,,,,,,,,,
722,용설란줄기추출물,,Agave Americana Stem Extract,,피부컨디셔닝제(기타),,,,,,,,,,,,,,,,
723,폴리글리세릴-3다이스테아레이트,폴리글리세릴-3디스테아레이트 (Polyglyceryl-3 Distearate),Polyglyceryl-3 Distearate,9009-32-9;94423-19-5,"피부컨디셔닝제(유연제), 계면활성제(유화제)",A,C,AC,,,,,,,,,,,,,
724,C20-40알킬스테아레이트,,C20-40 Alkyl Stearate,,"피부컨디셔닝제(수분차단제), 점도증가제(수성)",A,C,AC,,,,,,,,,,,,,
725,아르니카 몬타나꽃추출물,아르니카꽃추출물(Arnica Montana Flower Extract),Arnica Montana Flower Extract,68990-11-4,"착향제, 피부컨디셔닝제(기타)",A,C,AC,,,,,,,,유사EWG,,,,,
726,바닐라열매오일,,Vanilla Planifolia Fruit Oil,8024-06-4;84650-63-5,피부컨디셔닝제(유연제),A,C,AC,,,H317,,,,,유사EWG,,,,,
727,알로에잎즙,칸델라브라알로에잎즙(Aloe Arborescens Leaf Juice),Aloe Arborescens Leaf Juice,,피부컨디셔닝제(기타),,,,,,,,,,,,,,,,
728,인도멀구슬나무씨오일,Neem (Melia Azadirachta) Seed Oil;Neem Seed Oil,Melia Azadirachta Seed Oil,8002-65-1,수분증발차단제,A,C,AC,,,,H361,,,,유사EWG,,,,,
729,알진,"Alginic Acid, Sodium Salt;Algin (Laminaria spp. and other kelps) (RIFM);natrii alginas (EP);Sodium Alginate",Algin,9005-38-3;57606-04-9,"결합제, 향료, 점증제-수용성",A,B,AB,,,,,,,,,,,,,
730,식물성글리세린,Glycerol,Glycerin,56-81-5,"변성제, 착향제, 헤어컨디셔닝제, 보습제, 피부보호제, 피부컨디셔닝제(보습제), 점도감소제",A,A,AA,,,,,,,,,,,,,
731,하이드롤라이즈드카세인,Casein Hydrolysate,Hydrolyzed Casein,65072-00-6;73049-73-7,"헤어컨디셔닝제, 피부컨디셔닝제(기타)",A,C,AC,,,,,,,,,,,,,
732,마시멜로뿌리추출물,,Althaea Officinalis Root Extract,,피부컨디셔닝제(기타),A,C,AC,,,,,,,,,,,,,
733,스위트아몬드추출물,스위트아몬드씨추출물 (Prunus Amygdalus Dulcis (Sweet Almond) Seed Extract),Prunus Amygdalus Dulcis (Sweet Almond) Seed Extract,90320-37-9,피부컨디셔닝제(기타),A,C,AC,,,,,,,,,,,,,
734,붉은토끼풀추출물,,Trifolium Pratense (Clover) Extract,,"헤어컨디셔닝제, 피부컨디셔닝제(기타)",A,C,AC,,,,,,,,유사EWG,,,,,
735,소듐데하이드로아세테이트,"3-Acetyl-6-Methyl-2H-Pyran-2,4(3H)-Dione, Ion(1-), Sodium Salt;2H-Pyran-2,4(3H)-dione, 3-Acetyl-6-Methyl-, Ion(1-), Sodium",Sodium Dehydroacetate,4418-26-2,살균보존제,A,C,AC,,,,,,,,,,,,,
736,피이지-8,다이메티콘피이지-8벤조에이트,Dimethicone PEG-8 Benzoate,,피부컨디셔닝제(수분차단제),B,C,BC,,,,,,,,,,,,,
737,소듐코코일이세티오네이트,소듐코코일이세치오네이트 (Sodium Cocoyl Isethionate),Sodium Cocoyl Isethionate,58969-27-0;61789-32-0,계면활성제(세정제),A,C,AC,,,,,,H318,,,,,,,
738,하이드로제네이티드캐스터오일,"Castor Oil, Hydrogenated",Hydrogenated Castor Oil,8001-78-3,피부컨디셔닝제(수분차단제). 점도증가제(비수성),A,C,AC,,,,,,,,,,,,,
739,아세틸레이티드라놀린,"Hard Lanolin Acetate (1);Hard Lanolin Acetate (2);Lanolin Acetate;Lanolin, Acetates",Acetylated Lanolin,61788-48-5,"모발컨디셔닝제, 피부유연화제, 수분증발차단제",A,C,AC,,,,,,,,,,,,,
740,피이지-80솔비탄라우레이트,피이지-80소르비탄라우레이트 (PEG-80 Sorbitan Laurate),PEG-80 Sorbitan Laurate,9005-64-5,"착향제, 계면활성제(세정제), 계면활성제(용해보조제)",B,B,BB,,,H317,,,,,,,,,,
741,피이지-150디스테아레이트,피이지-150다이스테아레이트,PEG-150 Distearate,9005-08-07,"계면활성제(세정제), 계면활성제(용해보조제)",B,C,BC,,,H317,,,,,,,,,,
742,폴리쿼터늄-11,"Polyvinylpyrrolidone N,N-Dimethyl Aminoethyl Methacrylic Acid Copolymer Diethyl Sulfate Solution;2-Propenol Acid, 2-Methyl-2-(Dimethlamino) Ethyl Ester, Polymer and 1-Ethenyl-2-Pyrrolidinone, Compound with Diethyl Sulfate;2-Pyrrolidinone, 1-Ethenyl- Polymer and 2-(Dimethylamino) Ethyl 2-Methyl-2-Propenoate, Compound and Diethyl Sulfate;2-Pyrrolidinone, 1-Ethenyl-, Polymer and 2-(Dimethylamino) Ethyl 2-Methyl-2-Propenoate, compound with Diethyl Sulfate;Quaternium-23",Polyquaternium-11,53633-54-8,"정전기방지제, 피막형성제, 모발고정제",A,C,AC,,,,,,,,,,1,,,
743,해바라기씨추출물,Sunflower Seed Extract,Helianthus Annuus (Sunflower) Seed Extract,,"피부컨디셔닝제, 자외선차단제",A,C,AC,,,,,,,,,,,,,
744,디메티콘코폴리올,디메치콘코폴리올(Dimethicone Copolyol),Dimethicone Copolyol ,,,,,,,,,,,,,,,,,,
745,유차나무잎추출물,,Camellia Oleifera Leaf Extract,,"수렴제, 피부컨디셔닝제",A,C,AC,,,,,,,,유사EWG,,,,,
746,리놀레아미도프로필에칠디모늄에토설페이트,리놀레아미도프로필에칠디모늄에토설페이트 (Linoleamidopropyl Ethyldimonium Ethosulfate) ,Linoleamidopropyl Ethyldimonium Ethosulfate,99542-23-1,"정전기방지제, 헤어컨디셔닝제",B,C,BC,,,,,,,,,,1,,,
747,소르빅애씨드,"acidum sorbicum (EP);2,4-Hexadienoic Acid;2,4-Hexadienoic acid, (E,E)- (RIFM);1,3-Pentadiene-1-Carboxylic Acid",Sorbic Acid,110-44-1,"향료, 살균보존제",B,B,BB,,,,,,,,,,,,,
748,세틸다이메티콘,세틸디메치콘(Cetyl Dimethicone),Cetyl Dimethicone,191044-49-2,"기포방지제, 피부컨디셔닝제(유연제), 피부컨디셔닝제(수분차단제)",A,C,AC,,,,,,,,,,,,,
749,네오펜틸글라이콜다이에틸헥사노에이트,네오펜틸글라이콜디에칠헥사노에이트 (Neopentyl Glycol Diethylhexanoate),Neopentyl Glycol Diethylhexanoate ,28510-23-8,"피부컨디셔닝제(유연제), 점도증가제(비수성) ",A,C,AC,,,,,,,,,,,,,
750,네오펜틸글라이콜다이아이소스테아레이트,네오펜틸글라이콜디이소스테아레이트 (Neopentyl Glycol Diisostearate) ,Neopentyl Glycol Diisostearate,109884-54-0,"피부컨디셔닝제(수분차단제), 점도증가제(비수성) ",A,C,AC,,,,,,,,,,,,,
751,Emulsifying wax,,Emulsifying wax,8014-38-8,,B,C,BC, ,,,,,,,,,,,,
752,포타슘카보머,,Potassium Carbomer,,"유화안정제, 피막형성제, 점도증가제(수성)",A,C,AC,,,,,,,,,,,,,
753,하이드롤라이즈드디엔에이,DNA Hydrolysate,Hydrolyzed DNA,,"헤어컨디셔닝제, 피부컨디셔닝제(기타)",A,C,AC,,,,,,,,,,,,,
754,왕귤추출물,Citrus Decumana Extract;Citrus Grandis Extract,Citrus Grandis (Grapefruit) Fruit Extract,90045-43-5,피부컨디셔닝제,B,C,BC,,,,,,,,,,,,,
755,콜라겐추출물,,Collagen Extract,,"헤어컨디셔닝제, 피부컨디셔닝제(기타)",A,C,AC,,,,,,,,,,,,,
756,고수열매오일,,Coriandrum Sativum (Coriander) Fruit Oil,8008-52-4,"감미제, 착향제",A,C,AC,,,H317,,,,,,,,,,
757,단향오일,백단향오일 (Santalum Album (Sandalwood) Oil),Santalum Album (Sandalwood) Oil,8006-87-9,착향제,A,C,AC,R,,H317,,,H318,,,,,,,
758,피이지-60하이드로제네이티드캐스터오일,"	Castor oil, hydrogenated, ethoxylated (RIFM) 
Polyethylene Glycol 3000 Hydrogenated Castor Oil 
Polyoxyethylene (60) Hydrogenated Castor Oil ",PEG-60 Hydrogenated Castor Oil ,61788-85-0,"향료, 계면활성제-세정제, 계면활성제-용해보조제",B,C,BC,,,,,,,,,,,,,
759,소듐디엔에이,"DNA, Sodium Salt;Sodium Deoxyribonucleic Acid",Sodium DNA,,피부컨디셔닝제,A,C,AC,,,,,,,,,,,,,
760,하이드로제네이티드폴리(C6-14올레핀),하이드로제네이티드C6-14올레핀폴리머(Hydrogenated C6-14 Olefin Polymers),Hydrogenated Poly(C6-14 Olefin),,"피부컨디셔닝제(수분차단제), 점도증가제(비수성)",A,C,AC,,,,,,,,,,,,,
761,소듐아크릴레이트/소듐아크릴로일다이메틸다우레이트코폴리머,소듐아크릴레이트/소듐아크릴로일디메칠타우레이트코폴리머 (Sodium Acrylate/Sodium Acryloyldimethyl Taurate Copolymer),Sodium Acrylate/Sodium Acryloyldimethyl Taurate Copolymer,77019-71-7,"안티케이킹제, 유화안정제, 피막형성제, 점도증가제(수성)",A,C,AC,,,,,,,,,,,,,
762,글라이신,,Glycine,56-40-6,"완충화제, 헤어컨디셔닝제, 피부컨디셔닝제(기타)",A,B,AB,,,,,,,,,,,,,
763,세린,글리세린/아이소프탈릭애씨드코폴리머카스토레이트,Glycerin/Isophthalic Acid Copolymer Castorate,,피막형성제,,,,,,,,,,,,,,,,
764,글루타믹애씨드,,Glutamic Acid,56-86-0;617-65-2;6899-05-4,"헤어컨디셔닝제, 피부컨디셔닝제(보습제), 피부컨디셔닝제(기타)",A,B,AB,,,,,,,,,,,,,
765,아스파틱애씨드,"L-Aminosuccinic Acid;Aspargic Acid;Asparginic Acid;aspartic acid (INN);L-Aspartic acid;Butanedioic Acid, Amino-, (S)-",Aspartic Acid,56-84-8;617-45-8,"향료, 모발컨디셔닝제, 피부컨디셔닝제",A,B,AB,,,,,,,,,,,,,
766,류신,,Leucine,328-39-2;61-90-5,"헤어컨디셔닝제, 피부컨디셔닝제(기타)",A,B,AB,,,,,,,,,,,,,
767,알라닌,DL-Alanine;alanine (INN);L-Alanine;alaninum (EP);2-Aminopropionic Acid,Alanine,56-41-7;302-72-7,"향료, 모발컨디셔닝제, 피부컨디셔닝제",A,B,AB,,,,,,,,,,,,,
768,라이신,,Lysine,56-87-1;70-54-2,"헤어컨디셔닝제, 피부컨디셔닝제(기타)",A,B,AB,,,,,,,,,,,,,
769,타이로신,"(-)α-Amino-p-Hydroxyhydrocinnamic Acid;Benzenepropanoic Acid, α-Amino-4-Hydroxy-,;tyrosine (INN);L-Tyrosine;Tyrosinum (EP)",Tyrosine,60-18-4;556-02-5;556-03-6,"향료, 모발컨디셔닝제, 피부컨디셔닝제",A,B,AB,,,,H361,,,,,,,,,
770,페닐알라닌,"Alanine, Phenyl Ester;α-Aminobenzenepropanoic Acid;α-Aminohydrocinnamic Acid;2-Amino-3-Phenylpropionic Acid;D,L-Phenylalanine;phenylalanine (INN);L-Phenylalanine",Phenylalanine,63-91-2;150-30-1;62056-68-2;167088-01-9,"향료, 모발컨디셔닝제, 피부컨디셔닝제",A,B,AB,,,,,,,,,,,,,
771,발린,"DL-α-Aminoisovaleric Acid;L-(+)-α-Aminoisovaleric Acid;2-Amino-3-Methylbutanoic Acid;D,L-Valine;valine (INN);L-Valine;valinum (EP",Valine,72-18-4;516-06-3;640-68-6,"향료, 모발컨디셔닝제, 피부컨디셔닝제",A,B,AB,,,,,,,,,,,,,
772,트레오닌,2-Amino-3-Hydroxybutyric Acid;DL-Threonine;threonine (INN);L-Threonine,Threonine,72-19-5;80-68-2,"향료, 모발컨디셔닝제, 피부컨디셔닝제",A,B,AB,,,,,,,,,,,,,
773,프롤린,proline (INN);L-Proline,Proline,147-85-3;609-36-9,"향료, 모발컨디셔닝제, 피부컨디셔닝제",A,B,AB,,,,,,,,,,,,,
774,이소류신,아이소류신,Isoleucine,443-79-8;73-32-5,"헤어컨디셔닝제, 피부컨디셔닝제(기타)",A,B,AB,,,,,,,,,,,,,
775,히스티딘,"Glyoxaline-5-Alanine;1H-Imidazole-4-Alanine, (S)-;histidine (INN);L-Histidine",Histidine,4998-57-6;71-00-1,"헤어컨디셔닝제, 피부컨디셔닝제(기타)",A,B,AB,,,,,,,,,,,,,
776,메치오닌,다이메티콘올메티오닌,Dimethiconol Methionine,,헤어컨디셔닝제,,,,,,,,,,,,,,,,
777,시스테인,"Cysteine, DL-;cysteine (INN);L-Cysteine",Cysteine,52-90-4;3374-22-9,"산화방지제, 향료, 모발컨디셔닝제, 축모교정제, 환원제",A,B,AB,,,,,,,,,,,,,
778,겨우살이열매추출물,Mistletoe Berry Extract;Mistletoe Extract;Mistletoe Fruit Extract;Viscum Alba Extract;Viscum Album Berry Extract;Viscum Album (EU),Viscum Album (Mistletoe) Fruit Extract,8031-76-3;84929-55-5,피부컨디셔닝제(기타),,,,,,,,,,,,,,,,
779,피이지-4올리베이트,Polyethylene Glycol (4) Monoolivate;Polyoxyethylene (4) Monoolivate,PEG-4 Olivate,,계면활성제-유화제,B,C,BC,,,,,,,,,,,,,
780,폴리데센,"Decene, Homopolymer",Polydecene,25189-70-2;37309-58-3,수분증발차단제,A,C,AC,,,,,,,,,,,,,
781,아이소프로필스테아레이트,이소프로필스테아레이트(Isopropyl Stearate),Isopropyl Stearate,112-10-7,"결합제, 피부컨디셔닝제(유연제)",A,C,AC,,,,,,,,,,,,,
782,피이지-30다이폴리하이드록시스테아레이트,피이지-30디폴리하이드록시스테아레이트 (PEG-30 Dipolyhydroxystearate),PEG-30 Dipolyhydroxystearate ,,계면활성제(유화제) ,,,,,,,,,,,,,,,,
783,C18-36애씨드트리글리세라이드,C18-36애씨드트라이글리세라이드,C18-36 Acid Triglyceride,91052-08-3,피부컨디셔닝제(수분차단제),A,C,AC,,,,,,,,,,,,,
784,소듐스타치옥테닐석시네이트,"Sodium Corn Starch Octenylsuccinate;Starch, hydrogen 2-(octen-1-yl)butanedioate;Starch, hydrogen octenylbutanedioate, sodium salt;Starch, Hydrogen 2-(Octen-1-yl)Butanedioate, Sodium Salt",Sodium Starch Octenylsuccinate,52906-93-1;66829-29-6;70714-61-3,"흡수제, 유화안정제, 점도증가제(수성)",A,C,AC,,,,,,,,,,,,,
785,트리메톡시카프릴릴실란,트라이메톡시카프릴릴실레인,Trimethoxycaprylylsilane,3069-40-7,"결합제, 표면조정제",A,C,AC,,,,,,,,,,,,,
786,변성알코올,"Denatured Alcohol, Designated by the Government;Denatured Alcohol, Not Designated by the Government;Ethyl alcohol (RIFM)",Alcohol Denat.,64-17-5,"기포방지제, 수렴제, 향료, 용제, 점도감소제",,,,,,,H360,H350,H318,,,,,,,
787,에칠헥실트리아존,"Benzoic Acid, 4,4',4""-(1,3,5-Triazine-2,4,6-Triyltriimino)tris-, tris(2-Ethylhexyl) Ester;Octyl Triazone;2,4,6-Trianilino-(p-carbo-2'-Ethylhexyl-1'-oxy)-1,3,5-Triazine",Ethylhexyl Triazone,88122-99-0,자외선차단제,A,C,AC,,,,,,,,,,,,,
788,C18-38알킬하이드록시스테아로일스테아레이트,,C18-38 Alkyl Hydroxystearoyl Stearate,222722-18-1,"유화안정제, 점증제-비수용성",A,C,AC,,,,,,,,,,,,,
789,트라이아콘타닐피브이피,"트리아콘타닐피브이피 (Triacontanyl PVP);트리콘타닐피브이피(Tricontanyl PVP);2-Pyrrolidone, 1-Ethenyl Polymer with 1-Tricontene",Triacontanyl PVP,157148-07-7;136445-69-7,"피막형성제, 점도증가제(비수성)",,,,,,,,,,,,,,,,
790,테트라소듐이미노디석시네이트,,Tetrasodium Iminodisuccinate,144538-83-0,금속이온봉쇄제,A,C,AC,,,,,,,,,,,,,
791,소듐아크릴레이트/C10-30알킬아크릴레이트크로스폴리머,,Sodium Acrylates/C10-30 Alkyl Acrylate Crosspolymer,,피막형성제,,,,,,,,,,,,,,,,
792,하이드로제네이티드코코-글리세라이드,"	하이드로제네이티드코코-글리세라이드(Hydrogenated Coco-Glycerides) 
하이드로제네이티드코코-글라이세라이드",Hydrogenated Coco-Glycerides,91744-42-2,피부컨디셔닝제(유연제),A,C,AC,,,,,,,,,,,,,
793,브이피/헥사데센코폴리머,PVP/Hexadecene Copolymer;Vinylpyrrolidone*Hexadecene Copolymer,VP/Hexadecene Copolymer,32440-50-9;63231-81-2,"결합제, 피막형성제, 모발고정제, 현탁화제-비계면활성제, 점증제-비수용성",A,C,AC,,,,,,,,,,,,,
794,알부틴,p-하이드록시페닐 β -D-글루코사이드,Arbutin,497-76-7,"산화방지제, 피부컨디셔닝제, 미백개선(기능성화장품)",A,C,AC,,,,,,,,,,,,,
795,알지닉애씨드,acidum alginicum (EP);Norgine,Alginic Acid,9005-32-7,"결합제, 피부컨디셔닝제, 점증제-수용성",A,B,AB,,,,,,,,,,,,,
796,하이드레이티드실리카,Hydrosilicic Acid;Precipitated Silica;Silica Gel;Silica Hydrate;Silicic Acid;Silicic Acid Hydrate;Silicon Dioxide Hydrate;Synthetic Amorphous Silicon Dioxide,Hydrated Silica,10279-57-9;112926-00-8;1343-98-2;63231-67-4;7631-86-9,"스크럽제, 흡수제, 안티케이킹제, 벌킹제, 불투명화제,? 피부컨디셔닝제, 점증제-수용성",A,B,AB,,,,,H350,H318,,,,,,,
797,피이지-40스테아레이트,"""Macrogol Stearate 2000;Polyethylene Glycol 2000 Monostearate;Polyoxyethylene (40) Monostearate;Polyoxyl 40 Stearate;Stearethate 40",PEG-40 Stearate,9004-99-3,"계면활성제-세정제, 계면활성제-용해보조제",B,C,BC,,,,,,,,,,,,,
798,갈락토아라비난,갈락토아란비난,Galactoarabinan,9036-66-2,"피막형성제, 착향제",A,B,AB,,,,,,,,,,,,,
799,버지니아풍년화잎추출물,위치하젤잎추출물(Hamamelis Virginiana (Witch Hazel) Leaf Extract),Hamamelis Virginiana (Witch Hazel) Leaf Extract,,"수렴제, 피부컨디셔닝제(기타)",A,C,AC,,,,,,,,,,,,,
800,루이보스잎추출물,,Aspalathus Linearis Leaf Extract,,피부컨디셔닝제(기타),A,C,AC,,,,,,,,유사EWG,,,,,
801,스테아릴글리시레티네이트,"Octadecyl Glycyrrhetinate;Octadecyl 3-Hydroxy-11-Oxoolean-12-En-29-Oate;Olean-12-En-29-Oic Acid, 3-Hydroxy-11-Oxo-, Octadecyl Ester",Stearyl Glycyrrhetinate,13832-70-7,감미제,A,C,AC,,,,,,,,,,,,,
802,에틸파라벤,에칠파라벤(Ethylparaben),Ethylparaben,120-47-8,"착향제, 살균보존제",B,C,BC,,H334,H317,,,,,,,,,,
803,레파게르마늄,Poly-trans-[(2-Carboxyethyl) Germasesquioxane],Repagermanium,12758-40-6,피부컨디셔닝제(기타),A,C,AC,,,,,,,,,,,,,
804,편백오일,,Chamaecyparis Obtusa Oil,91745-97-0,향료,A,C,AC,,,H317,,,,,,,,,,
805,비타민나무추출물,산자나무추출물(Hippophae Rhamnoides Extract),Hippophae Rhamnoides Extract,90106-68-6,수렴제,A,C,AC,,,,,,,,유사EWG,,,,,
806,여주열매추출물,,Momordica Charantia Fruit Extract,,"헤어컨디셔닝제, 보습제, 피부컨디셔닝제(보습제), 피부컨디셔닝제(기타), 피부컨디셔닝제(수분차단제)",A,C,AC,,,,,,,,,,,,,
807,피피지-3카프릴릴에텔,피피지-3카프릴릴에터,PPG-3 Caprylyl Ether,,"헤어컨디셔닝제, 가소제, 피부컨디셔닝제(유연제), 미끄럼조정제/활택제
용제, 계면활성제(거품촉진제)",,,,,,,,,,,,,,,,
808,트로폴론,,Tropolone,533-75-5,피부컨디셔닝제(기타),A,C,AC,,,H317,,,H318,,,,,,,
809,라놀린,,Lanolin,8006-54-0,"유화안정제, 헤어컨디셔닝제, 피부보호제, 피부컨디셔닝제(유연제), 계면활성제(유화제)",A,C,AC,,,,,,,,,,,,,
810,폴리글리세릴-3폴리리시놀리에이트,"9-Octadecenoic acid, 12-hydroxy-, (9Z,12R)-, polymer with 1,2,3-propanetriol",Polyglyceryl-3 Polyricinoleate ,29894-35-7,"계면활성제-유화제, 점증제-비수용성",A,C,AC,,,,,,,,,,,,,
811,피이지-400,macrogol (INN);Polyethylene Glycol 400;Polyoxyethylene (400),PEG-400,25322-68-3,"결합제, 유화안정제, 용제",B,B,BB,,,,,H351,,,,,,,,
812,산수유열매추출물,산수유추출물(Cornus Officinalis Fruit Extract),Cornus Officinalis Fruit Extract,,"헤어컨디셔닝제, 피부컨디셔닝제(기타)",A,C,AC,,,,,,,,,,,,,
813,천궁추출물,"천궁추출물(Cnidium Officinale Rhizome Extract, Cnidium Officinale Root Extract)",Cnidium Officinale Rhizome Extract,168456-52-8,피부컨디셔닝제(기타),,,,,,,,,,,,,,,,
814,호스테일추출물,에퀴세툼 기간테움추출물,Equisetum Giganteum Extract,,피부컨디셔닝제(기타),A,C,AC,,,,,,,,,,,,,
815,쑥추출물,쑥추출물(Artemisia Princeps Extract),Artemisia Princeps Extract,223747-95-3,피부컨디셔닝제(기타),A,C,AC,,,,,,,,유사EWG,,,,,
816,알에이치-올리고펩타이드-1,휴먼올리고펩타이드-1(Human Oligopeptide-1),rh-Oligopeptide-1,62253-63-8,피부컨디셔닝제(기타),,,,,,,,,,,,,,,,
817,미네랄워터,,Mineral Water,,용제,,,,,,,,,,,,,,,,
818,셀러리추출물,,Apium Graveolens (Celery) Extract,,피부컨디셔닝제(기타),,,,,,,,,,,,,,,,
819,양배추잎추출물,적양배추추출물 ,Brassica Oleracea Capitata (Cabbage) Leaf Extract,89958-13-4,피부컨디셔닝제(기타),A,C,AC,,,,,,,,,,,,,
820,순무잎추출물,Turnip Leaf Extract,Brassica Rapa (Turnip) Leaf Extract,,피부컨디셔닝제(기타),A,B,AB,,,,,,,,,,,,,
821,산뽕나무추출물,,Morus Bombycis Extract,,"산화방지제, 수렴제, 헤어컨디셔닝제, 피부컨디셔닝제(기타)",A,C,AC,,,,,,,,유사EWG,,,,,
822,발아현미추출물,,Germinated brown rice Extract,,,,,,,,,,,,,,,,,,
823,오미자추출물,Schizandra Chinensis Fruit Extract,Schisandra Chinensis Fruit Extract,223748-53-6,"피부보호제, 피부컨디셔닝제(보습제), 피부컨디셔닝제(기타)",,,,,,,,,,,,,,,,
824,대추추출물,Zizyphus Jujuba Fruit Extract,Ziziphus Jujuba Fruit Extract,90045-99-1,피부컨디셔닝제(기타),,,,,,,,,,,,,,,,
825,감나무잎추출물,,Diospyros Kaki Leaf Extract,,피부컨디셔닝제(기타),A,C,AC,,,,,,,,,,,,,
826,소엽잎추출물,자소엽추출물 (Perilla Frutescens Leaf Extract),Perilla Frutescens Leaf Extract,,피부컨디셔닝제(기타),A,C,AC,,,,,,,,,,,,,
827,귤껍질추출물,,Citrus Unshiu Peel Extract,,피부컨디셔닝제(기타),A,C,AC,,,,,,,,유사EWG,,,,,
828,더덕추출물,Carrot (Daucus Carota) Extract;Carrot Extract;Carrot Root Extract;Daucus Carota Sativa Extract,Codonopsis Lanceolata Extract,84929-61-3,"산화방지제, 수렴제, 피부컨디셔닝제(기타)",A,C,AC,,,,,,,,유사EWG,,,,,
829,하수오뿌리수,,Polygonum Multiflorum Root Water,,"착향제, 피부컨디셔닝제(기타)",,,,,,,,,,,,,,,,
830,인삼수,"Water, Panax Ginseng Root",Panax Ginseng Root Water,50647-08-0,착향제,,,,,,,,,H318,,,,,,,
831,도라지뿌리추출물,길경추출물(Platycodon Grandiflorum Root Extract),Platycodon Grandiflorus Root Extract,,산화방지제,,,,,,,,,,,,,,,,
832,둥굴레추출물,Polygonum Odoratum Extract,Polygonatum Odoratum Extract,,피부컨디셔닝제(유연제),,,,,,,,,,,,,,,,
833,가시오갈피추출물,,Acanthopanax Senticosus (Eleuthero) Extract,84696-12-8,"피부보호제, 피부컨디셔닝제(기타)",A,C,AC,,,,,,,,유사EWG,,,,,
834,엉겅퀴추출물,,Cirsium (Thistle) Extract,,피부컨디셔닝제(기타),,,,,,,,,,,,,,,,
835,서양민들레추출물,서양민들레 (Taraxacum Officinale (Dandelion) Extract),Taraxacum Officinale (Dandelion) Extract,68990-74-9,피부컨디셔닝제(기타),A,C,AC,,,,,,,,,,,,,
836,곤포추출물,다시마추출물,Laminaria Japonica Extract,92128-82-0,착향제,A,C,AC,,,,,,,,,,,,,
837,효모/고초균/토란알줄기발효물,,,,,,,,,,,,,,,,,,,,
838,한련초추출물,,Eclipta Prostrata Extract,,피부컨디셔닝제(기타),A,C,AC,,,,,,,,유사EWG,,,,,
839,올리브오일불검화물,"Olea Europaea Unsaponifiables;Olive Oil Unsaponifiables;Unsaponifiable Olive Oil;Unsaponifiables, Olea Europaea;Unsaponifiables, Olive Oil",Olea Europaea (Olive) Oil Unsaponifiables;Olea Europaea Fruit Unsaponifiables,156798-12-8,"모발컨디셔닝제, 피부컨디셔닝제",A,C,AC,,,,,,,,,,,,,
