고유번호,성분명(국문명),이명,영문명,CAS,배합용도,EWG등급,EWG데이터등급,EWG코드,알러지,호흡,피부,발달/생식,발암,눈,주의,비고,SLS/SLES,4급암모늄,향료,색소/형광,가습기
2079,트라이메틸올프로판트라이에틸헥사노에이트,트리메칠올프로판트리에칠헥사노에이트 (Trimethylolpropane Triethylhexanoate) ,Trimethylolpropane Triethylhexanoate ,26086-33-9,피부컨디셔닝제(수분차단제) ,A,C,AC,,,,,,,,,,,,,
2080,피이지-20글리세릴스테아레이트,Polyethylene Glycol 1000 Glyceryl Stearate;Polyoxyethylene (20) Glyceryl Stearate,PEG-20 Glyceryl Stearate,,"피부유연화제, 계면활성제-유화제",B,C,BC,,,,,,,,,,,,,
2081,플라센타단백질,,Placental Protein,,"모발컨디셔닝제, 피부컨디셔닝제",B,C,BC,,,,,,,,,,,,,
2082,도토리추출물,,Quercus Acutissima Fruit Extract,,수렴제,,,,,,,,,,,,,,,,
2083,서양민들레뿌리줄기/뿌리추출물,Dandelion Extract;Taraxacum Extract;Taraxacum Officinale (Dandelion) Extract;Taraxacum officinale Extract,Taraxacum Officinale (Dandelion) Rhizome/Root Extract,68990-74-9;84775-55-3,피부컨디셔닝제(기타),,,,,,,,,,,,,,,,
2084,알파-글루칸올리고사카라이드,,Alpha-Glucan Oligosaccharide,,피부컨디셔닝제,,,,,,,,,,,,,,,,
2085,타마린드씨폴리사카라이드,Tamarind (Tamarindus Indica) Seed Polysaccharide,Tamarindus Indica Seed Polysaccharide,,피부컨디셔닝제,A,C,AC,,,,,,,,유사EWG,,,,,
2086,마편초추출물,,Verbena Officinalis Extract,,피부컨디셔닝제(기타),A,C,AC,,,,,,,,유사EWG,,,,,
2087,이소세틸알코올,아이소세틸알코올,Isocetyl Alcohol,36311-34-9,"피부컨디셔닝제(유연제), 점도증가제(비수성)",A,C,AC,,,,,,,,,,,,,
2088,포타슘포스페이트,"Kalii dihydrogenophosphas (EP);Monobasic Potassium Phosphate;Phosphoric Acid, Monopotassium Salt;Potassium Phosphate, Monobasic",Potassium Phosphate,7778-77-0;16068-46-5,pH 조절제,A,B,AB,,,,,,H318,,,,,,,
2089,라벤더꽃오일,,Lavandula Spica (Lavender) Flower Oil,,착향제,,,,,,,,,,,,,,,,
2090,클래리꽃오일,,Salvia Sclarea Flower Oil,84775-83-7,착향제,,,,S,,,,,,,,,,,,
2091,아몬드,다이아몬드콜로이드,Colloidal Diamond,7782-40-3,피부보호제,,,,,,,,,,,,,,,,
2092,폴리아마이드-5,,Polyamide-5,,피부컨디셔닝제(기타),A,C,AC,,,,,,,,,,,,,
2093,다이프로필렌글라이콜다이벤조에이트,디프로필렌글라이콜디벤조에이트(Dipropylene Glycol Dibenzoate),Dipropylene Glycol Dibenzoate,94-51-9,피부컨디셔닝제(유연제),,,,,,,,,,,,,,,,
2094,피피지-15스테아릴에텔벤조에이트,피피지-15스테아릴에텔벤조에이트 (PPG-15 Stearyl Ether Benzoate) ,PPG-15 Stearyl Ether Benzoate,,피부컨디셔닝제(유연제),,,,,,,,,,,,,,,,
2095,하이드록시페닐프로파미도벤조익애씨드,,Hydroxyphenyl Propamidobenzoic Acid,697235-49-7,피부컨디셔닝제(기타),A,C,AC,,,,,,,,,,,,,
2096,토코페릴글루코사이드,,Tocopheryl Glucoside,,피부컨디셔닝제(유연제),A,C,AC,,,,,,,,,,,,,
2097,알킬디아미노에칠글라이신하이드로클로라이드용액,,,,,,,,,,,,,,,,,,,,
2098,꿀풀추출물,,Prunella Vulgaris Extract,,산화방지제,A,C,AC,,,,,,,,유사EWG,,,,,
2099,혈갈추출물,,Daemonorops Draco Extract,84776-31-8,수렴제,A,C,AC,,,,,,,,,,,,,
2100,포타슘클로라이드,kalii chloridum (EP),Potassium Chloride,7447-40-7,점증제-수용성,A,B,AB,,,,,,,,,,,,,
2101,다이소듐포스페이트,디소듐포스페이트(Disodium Phosphate),Disodium Phosphate,10140-65-5;7558-79-4;7782-85-6,"완충화제, 부식방지제, 착향제, pH 조정제",A,B,AB,,,,,,H318,,,,,,,
2102,망가니즈설페이트,"Manganese Monosulfate;Sulfuric Acid, Manganese Salt (1:1)",Manganese Sulfate,7785-87-7;10124-55-7;10034-96-5,피부컨디셔닝제(기타),B,C,BC,,,,,H351,H318,,,,,,,
2103,피리독신,"5-Hydroxy-6-Methyl-3,4-Pyridinedimethanol;3,4-Pyridinedimethanol, 5-Hydroxy-6-Methyl-;pyridoxine (INN);Pyridoxol;Vitamin B6",Pyridoxine,65-23-6;8059-24-3,"모발컨디셔닝제, 피부컨디셔닝제",A,B,AB,,,,,,,,,,,,,
2104,포타슘아이오다이드,kalii iodidum (EP),Potassium Iodide,7681-11-0,,A,B,AB,,H334,H317,H360,H351,,,,,,,,
2105,소듐몰리브데이트,"Disodium Molybdate;Molybdic Acid, Sodium Salt;Sodium Molybdenum Oxide",Sodium Molybdate,7631-95-0;12680-49-8,부식방지제,,,,,,H317,H361,H351,,,,,,,,
2106,시스틴,cystine (INN);L-Cystine;Cystine (RIFM),Cystine,56-89-3,"향료, 모발컨디셔닝제",A,B,AB,,,,,,,,,,,,,
2107,코코넛야자열매즙,코코스야자열매즙(Cocos Nucifera (Coconut) Fruit Juice),Cocos Nucifera (Coconut) Fruit Juice,,"헤어컨디셔닝제, 피부컨디셔닝제(보습제)",A,C,AC,,,,,,,,,,,,,
2108,코코넛야자수,코코넛수(Cocos Nucifera (Coconut) Water),Cocos Nucifera (Coconut) Water,,착향제,A,C,AC,,,,,,,,,,,,,
2109,치마버섯균사체발효여과추출물,,Schizophyllum Commune Mycelium Ferment Filtrate Extract,,"피부컨디셔닝제(보습제), 피부컨디셔닝제(기타)",,,,,,,,,,,,,,,,
2110,가시여지잎추출물,,Annona Muricata Leaf Extract,,산화방지제,,,,,,,,,,,,,,,,
2111,옐로우체이스트위드꽃추출물,,Helichrysum Arenarium Flower Extract,,피부컨디셔닝제(기타),,,,,,,,,,,,,,,,
2112,육계잎오일,"계피유(Cinnamomum Cassia Leaf Oil, Cinnamomum Cassia Oil)",Cinnamomum Cassia Leaf Oil,8007-80-5,"변성제, 감미제, 착향제",B,B,BB,R,,H317,,,,,유사EWG,,,,,
2113,베어베리잎추출물,Arctostaphylos Uva Ursi Leaf Extract;Bearberry Extract,Arctostaphylos Uva-Ursi Leaf Extract,84776-10-3,피부컨디셔닝제,A,C,AC,,,,,,,,유사EWG,,,,,
2114,백량금추출물,,Ardisia Crispa Extract,,피부컨디셔닝제(기타),,,,,,,,,,,,,,,,
2115,바실러스/살구씨/청호추출물/팥/콩/밀겨/창이자추출물발효추출물,바실러스/살구씨/청호추출물/팥/콩/밀겨/창이자추출물발효추출물(Bacillus/Apricot Seed/Artemisia Annua Extract/Phaseolus Angularis Seed/Soybean Seed/Wheat Bran/Xanthium Strumarium Fruit Extract Ferment Extract),Bacillus/Apricot Seed/Artemisia Annua Extract/Phaseolus Angularis Seed/Soybean Seed/Wheat Bran/Xanthium Strumarium Fruit Extract Ferment Extract ,,피부컨디셔닝제(기타),,,,,,,,,,,,,,,,
