고유번호,성분명(국문),영문명,CAS번호,배합용도,EWG등급,천식/호흡,피부자극,발달/생식,발암,천식/호흡,피부자극,발달/생식,발암,국내유해,D S L,EPA,SLS/SLES,4급암모늄,향료,색소/형광,가습기,비고,S or R,천식/호흡,피부자극,발달/생식,발암,눈자극,
79,소듐시트레이트,Sodium citrate,68-04-2 ,"pH 완충제, 금속이온봉쇄제, 향료, pH 조절제",A,N,N,N,N,,,,,,,G,,,,,,,,,,,,,
80,카프릴릴글루코사이드,Caprylyl glucoside,29836-26-8,계면활성제-세정제,B,X,S,L,X,,,,,,,G,,,,,,,,H335,,,,,
81,미리스틸글루코사이드,Myristyl glucoside,54549-26-7,계면활성제(세정제),B,X,S,L,X,,,,,,,,,,,,,,,,,,,,
82,잔탄검,Xanthan gum,11138-66-2,"결합제, 유화안정제, 피부컨디셔닝제, 계면활성제-유화제, 점증제-수용성",B,X,X,L,L,,,,,,,G,,,,,,,,,H317,,,,
83,선백리향추출물,Thymus Vulgaris (Thyme) Extract,84929-51-1,"향료, 피부컨디셔닝제, 수분증발차단제",C,X,X,X,X,,,,,,,,,,,,,,S,,H317,,,H318,
84,디알킬디메틸 암모늄클로라이드,dialkyl dimethyl ammonium chloride(DDAC),,,F,M,X,X,X,,,,,,,,,1,,,,,,,,,,,
85,라임오일,Citrus aurantifolia (Lime) oil,8008-26-2,"향료, 피부컨디셔닝제",C,S,S,X,S,,,,,,,,,,,,,,,,H317,,,,
86,티트리잎오일,Melaleuca alternifolia (Tea tree) leaf oil,8022-72-8 ,"산화방지제, 향료",C,S,S,X,S,,,,,,,,,,,,,,,H334,,,,,
87,라우릴글루코사이드,Lauryl glucoside,110615-47-9,계면활성제-세정제,B,X,S,L,X,,,,,,,G,,,,,,,,,H317,,,H318,
88,알릴 헵타노에이트,Allyl heptanoate,142-19-8,,C,X,X,X,X,,,,,,,,,,,,,,,,,,,,
89,터피네올,Terpineol,8000-41-7,향료,C,S,S,X,S,,,,,,,H,,,,,,,R,,H317,,H351,,
90,데칸알,Decanal,112-31-2,향료,C,X,X,X,X,,,,,,,Y,,,,,,,S,H335,H317,,,,
91,소듐코코설페이트,Sodium coco-sulfate,97375-27-4,계면활성제,C,X,S,L,L,,,,,,,,1,,,,,사용량/사용방법에 따라 B~C등급,,,,,,H318,
92,소듐글루코네이트,Sodium gluconate,527-07-1,"금속이온봉쇄제, 피부컨디셔닝제",B,X,X,X,X,,,,,,,G,,,,,,,,,,,,,
