고유번호,성분명(국문),영문명,CAS번호,배합용도,EWG등급,천식/호흡,피부자극,발달/생식,발암,천식/호흡,피부자극,발달/생식,발암,국내유해,D S L,EPA,SLS/SLES,4급암모늄,향료,색소/형광,가습기,비고,S or R,천식/호흡,피부자극,발달/생식,발암,눈자극,
346,소듐팜커넬레이트,Sodium Palm Kernelate,61789-89-7,"계면활성제-세정제, 계면활성제-유화제, 점증제-수용성",A,X,L,L,X,,,,,,,,,,,,,,,,,,,,
347,포도뿌리추출물,Vitis Vinifera (Grape) Root Extract,84929-27-1,피부컨디셔닝제(기타),C,X,X,X,X,,,,,,,,,,,,,,,,,,,,
348,소듐코코일애플아미노산,Sodium Cocoyl Apple Amino Acids,,"헤어컨디셔닝제, 피부컨디셔닝제(기타), 계면활성제(거품촉진제)",,,,,,,,,,,,,,,,,,,,,,,,,
349,폴리헥사메틸렌구아니딘 (PHMG),Polyhexamethylene guanidine (PHMG),"31961-54-3, 89697-78-9, 57028-96-3",,,,,,,,,,,1,,,,,,,1,,,,H317,,,H318,
350,염화올리고에톡시에틸구아니딘 (PGH),Oligo(2-(2-ethoxy)ethoxyethyl guanidium chloride (PGH),374572-91-5,,,,,,,,,,,1,,,,,,,1,,,,,,,,
351,하이드록시에틸셀룰로오스,Hydroxyethylcellulose,9004-62-0,"결합제, 유화안정제, 피막형성제, 점도증가제(수성)",D,X,X,X,X,,,,,,,G,,,,,,,,H335,,,,,
352,에톡실레이티트알코올(C10-16),"Alcohols, C10-16, ethoxylated",68002-97-1,계면활성제,C,S,S,S,S,,,,,,1,G,,,,,,,,,H314,,,H318,
353,에톡실레이티트알코올(C10-14),"Alcohols, C10-14, ethoxylated",66455-15-0,계면활성제,D,S,S,S,S,,,,,,,G,,,,,,사용량/사용방법에 따라 C~D등급,,,,,,H318,
354,Liquitint 라벤더 색소,Liquitint Lavender,,,,,,,,,,,,,,,,,,1,,,,,,,,,
355,Liquitint 레몬 색소,Liquitint lemon,,,,,,,,,,,,,,,,,,1,,,,,,,,,
356,시트로넬올,Citronellol,106-22-9,향료,D,S,S,X,S,,,,,,,Y,,,,,,사용량/사용방법에 따라 C~D등급,,H334,H317,,,H318,
357,부틸페닐메틸프로피오날,Butylphenyl Methylpropional,80-54-6,착향제,C,X,X,X,X,,,,,,1,,,,,,,,R,H334,H317,H360,,,
358,Liquitint 핑크 색소,Liquitint pink,,,C,X,X,X,X,,,,,,,,,,,1,,,,,,,,,
359,Liquitint 그린 색소,Liquitint green,,,C,X,X,X,X,,,,,,,,,,,1,,,,,,,,,
360,Liquitint 아쿠아마린 색소,Liquitint aquamarine,,,C,X,X,X,X,,,,,,,,,,,1,,,,,,,,,
361,글라이콜릭애씨드,Glycolic Acid,79-14-1,"각질제거제, pH 조절제",B,X,X,X,X,,,,,,,,,,,,,,,,H314,H360,,H318,
362,소듐C14-17알킬에스이씨설포네이트,Sodium C14-17 Alkyl Sec Sulfonate ,97489-15-1,계면활성제(세정제),C,X,X,X,X,,,,,,,,,,,,,,,,,,,H318,
363,카라멜,Caramel,8028-89-5,"착색제, 향료",C,X,S,X,S,,,,,,,H,,,,1,,,,,,,,,
364,디메치콘/실리카/피이지 디스테아레이트 안티폼,Dimethicone/Silica/PEG Distearate Antifoam,,,C,X,X,X,X,,,,,,,,,,,,,,,,,,,,
365,글라이신,Glycine,56-40-6,"pH 완충제, 향료, 모발컨디셔닝제, 피부컨디셔닝제",,,,,,,,,,,,G,,,,,,,,H335,,,,,
366,아세틱애씨드,Acetic Acid,64-19-7,"향료, pH 조절제",A,N,N,N,N,S,S,,,,,G,,,,,,,,H334,H314,,,H318,
367,글루타믹애씨드,Glutamic Acid,56-86-0,"향료, 모발컨디셔닝제, 피부보습제",,,,,,,,,,,,,,,,,,,,,,,,,
368,크로스카멜로오스,Croscarmellose,9000-11-07,"결합제, 벌킹제(증량제), 점도증가제(수성)",C,X,X,X,X,,,,,,,,,,,,,,,,,,,,
369,유채씨오일,Brassica Campestris (Rapeseed) Seed Oil ,8002-13-9,피부컨디셔닝제(수분차단제),A,X,L,L,S,,,,,,,,,,,,,,,,,,,,
370,솔비톨,Sorbitol,50-70-4,"감미제, 착향제, 보습제, 피부컨디셔닝제(보습제)",B,X,X,L,X,,,,,,,G,,,,,,,,,,,,,
371,아스파틱애씨드,Aspartic Acid,56-84-8,"향료, 모발컨디셔닝제, 피부컨디셔닝제",,,,,,,,,,,,,,,,,,,,,,,,,
372,지방산 C12-18,Fatty acids C12-18,67701-01-3,,,,,,,,,,,,,,,,,,,,,,,,,,
373,칸디다 봄비콜라/글루코오스/메틸레이프씨데이트발효물,Candida Bombicola/Glucose/Methyl Rapeseedate Ferment,,계면활성제(세정제),C,X,X,X,X,,,,,,,,,,,,,,,,,,,,
374,소르빅애씨드,Sorbic Acid,110-44-1,"향료, 살균보존제",C,X,S,X,L,,S,,,,,G,,,,,,,,H335,H314,,,,
375,마그네슘클로라이드,Magnesium Chloride,7786-30-3,,A,N,N,N,N,,,,,,,G,,,,,,,,,H317,,,H318,
376,다이팔미토일에틸하이드록시에틸모늄메토설페이트,Dipalmitoylethyl Hydroxyethylmonium Methosulfate,161294-46-8,"정전기방지제, 헤어컨디셔닝제",D,M,X,X,X,,,,,,,,,1,,,,사용량/사용방법에 따라 C~D등급,,,,,,,
377,셀룰라아제,Cellulase,"9037-40-5, 9012-54-8","세포용해제, 점도조절제",C,S,X,X,X,,,,,,,Y,,,,,,,,H334,H317,,,,
378,포타슘올리에이트,Potassium Oleate,143-18-0,"계면활성제-세정제, 계면활성제-유화제",A,N,L,L,N,,,,,,,,,,,,,,,,H314,,,H318,
379,마그네슘설페이트,Magnesium Sulfate,7487-88-9,벌킹제,A,N,N,N,N,S,,,,,,G,,,,,,,,,H317,,,,
380,솔비탄세스퀴카프릴레이트,Sorbitan Sesquicaprylate,91844-53-0,"피부컨디셔닝제(기타), 계면활성제(용해보조제), 점도증가제(수성)",B,X,X,L,X,,,,,,,,,,,,,,,,,,,,
381,소듐옥틸설페이트,Sodium octyl sulfate,142-31-4,,A,X,S,L,L,,,,,,,G,,,,,,,,,,,,H318,
382,글리세레스-6 코코에이트,Glycereth-6 Cocoate,68201-46-7,계면활성제,C,S,S,S,S,,,,,,,H,,,,,,,,,,,,,
383,다이소듐이디티에이,Disodium EDTA,139-33-3,금속이온봉쇄제,C,X,X,X,X,,,,,,,,,,,,,,,,,,H351,,
384,소듐다이에틸렌트라이아민펜타메틸렌포스포네이트,Sodium Diethylenetriamine Pentamethylene Phosphonate ,22042-96-2,금속이온봉쇄제,,,,,,,,,,,,Y,,,,,,,,,H314,,,H318,
385,스타이렌/아크릴레이트코폴리머,Styrene/Acrylates Copolymer,9010-92-8,피막형성제,C,X,X,X,X,,,,,,,G,,,,,,,,,,,,,
386,리니어알코올에톡실레이트,Linear Alcohol Ethoxylate,,,C,S,S,S,S,,,,,,,,,,,,,,,,,,,,
387,소듐메타실리케이트펜타하이드레이트,Sodium Metasilicate Pentahydrate,10213-79-3,,C,X,X,X,X,,,,,,,G,,,,,,,,,H314,,,H318,
388,모노솔필름,MONOSOL Film,,,C,X,X,X,X,,,,,,,,,,,,,,,,,,,,
389,라반딘오일,Lavandula Hybrida Oil,8022-15-9,향료,C,S,S,X,S,,,,,,,,,,,,,,,H335,H317,,,,
390,"아마인유, 포타슘염","Linseed oil, potassium salt",68605-13-0,,,,,,,,,,,,,,,,,,,,,,,,,,
391,소듐팔메이트,Sodium Palmate ,61790-79-2,"계면활성제-세정제, 계면활성제-유화제, 점증제-비수용성",A,X,L,L,X,,,,,,,G,,,,,,,,,,,,,
392,티타늄디옥사이드,Titanium Dioxide(CI 77891),13463-67-7,"착색제, 불투명화제, 자외선차단(기능성화장품)",C,S,X,M,S,,,S,S,,1,G,,,,,,,,H334,,,H350,H318,
393,프로필렌글라이콜부틸에터,Propylene Glycol Butyl Ether,5131-66-8,"착향제, 용제",C,X,S,X,X,,,,,,,G,,,,,,사용량/사용방법에 따라 B~C등급,,H334,H317,H360,H351,,
394,이소프로필알코올,Isopropyl Alcohol ,67-63-0,"기포방지제, 향료, 용제, 점도감소제",B,S,X,X,X,S,S,S,,,,G,,,,,,,,H335,H314,,,H318,
395,트리소듐엔티에이,Trisodium NTA,5064-31-3,금속이온봉쇄제,F,X,X,X,H,,,,,,1,,,,,,,,,,,,H351,,
396,엠이케이,MEK,78-93-3,"향료, 용제",,,,,,S,S,S,,1,1,,,,,,,,,,,,,,
397,C12-14파레스-7,C12-14 Pareth-7 ,68439-50-9,계면활성제-유화제,C,S,S,S,S,,,,,,1,G,,,,,,,,,,,,H318,
398,감마테르피넨,γ-Terpinene,99-85-4,,,,,,,,,,,,,Y,,,,,,,,,H317,H361,,,
399,유칼립톨,Eucalyptol,470-82-6,착향제,C,X,X,X,X,,,,,,,Y,,,,,,,,H334,H317,,,H318,
400,캠퍼,Camphor,"76-22-2, 464-49-3","변성제, 향료, 가소제",,,,,,S,S,,,,,,,,,,,,,,,H360,,,
401,피넨,Pinene,80-56-8,착향제,C,S,S,X,S,S,S,,,,,,,,,,,,,,H317,,,H318,
402,베타피넨,β-Pinene,18172-67-3,,C,S,S,X,S,S,S,,,,,,,,,,,,,,H317,,,,
403,베타-카리오필렌,Beta-Caryophyllene ,87-44-5,"향료, 피부컨디셔닝제",C,X,S,X,X,,,,,,,,,,,,,,R,,H317,,,,
404,p-시멘,p-Cymene,99-87-6,착향제,,,,,,,,,,,,,,,,,,,,,H317,,,,
405,"마그네슘클로라이드,헥사하이드레이트","Magnesium Chloride, hexahydrate",7791-18-6,,,,,,,,,,,,,G,,,,,,,,,,,,,
406,4-터피네올,4-Terpineol,562-74-3,향료,,,,,,,,,,,,H,,,,,,,,H335,H317,,,,
407,캄펜,Camphene,79-92-5,향료,,,,,,,,,,,,Y,,,,,,,,,,,,H318,
408,멘톤,Menthone,89-80-5,피부보호제,,,,,,,,,,,,,,,,,,,,,H317,,H351,,
409,미르센,Myrcene,123-35-3,,,,,,,,,,,,,,,,,,,,,,H317,,,,
410,옥타날,Octanal,,,C,X,X,X,X,,,,,,1,Y,,,,,,,,,,,,,
411,제라닐아세테이트,Geranyl Acetate,105-87-3,수분증발차단제,C,X,X,X,X,,,,,,,,,,,,,,S,,H317,,,,
412,이소멘톤,Isomenthone,491-07-6,,,,,,,,,,,,,,,,,,,,,,H317,,,,
413,아밀비닐카비닐아세테이트,Amyl Vinyl Carbinyl Acetate,2442-10-06,,,,,,,,,,,,,,,,,,,,,,H317,,,,
414,에톡실레이티트알코올(C12-14),"Alcohol, (C=12-14), ethoxylated",68439-50-9,계면활성제-유화제,C,S,S,S,S,,,,,,1,G,,,,,,,,,,,,H318,
415,리니어알킬벤젠설포네이트(LAS),Linear alkylbenzene sulfonate(LAS),,,C,X,X,X,X,,,,,,,,,,,,,,,,,,,,
416,폴리아크릴릭애씨드,Polyacrylic Acid,9003-01-04,"유화안정제, 점도증가제",D,X,X,X,X,,,,,,1,G,,,,,,사용량/사용방법에 따라 C~D등급,,,H317,,H350,H318,
417,이디티에이,EDTA,60-00-4,금속이온봉쇄제,C,X,X,X,X,,,,,,1,,,,,,,,,H335,,H361,,,
418,틴노팔,Tinopal,,,C,X,X,X,X,,,,,,,,,,,1,,,,,,,,,
419,색소(파랑),Liquitint Blue,,,C,X,X,X,X,,,,,,,,,,,1,,,,,,,,,
420,소듐C10-16파레스-2설페이트,Sodium C10-16 Pareth-2 Sulfate ,68585-34-2,"계면활성제(세정제), 계면활성제(거품촉진제)",C,S,S,S,S,,,,,,1,G,1,,,,,,,,H314,,,H318,
421,에톡실레이티트알코올(C12-13),Alcohols C12-13 ethoxylated ,66455-14-9,계면활성제(유화제),C,S,S,S,S,,,,,,1,G,,,,,,,,,,,,H318,
422,폴리비닐알코올,Polyvinyl Alcohol,9002-89-5,"결합제, 피막형성제, 점증제-수용성",C,X,X,X,X,,,,,,,G,,,,,,,,,,,,,
423,전분,Starch,9005-25-8,흡수제,B,X,X,X,X,,,,,,,G,,,,,,,,H335,,,,,
424,피이지 글리세릴코코에이트,"Glycerides, coco mono- and di-, ethoxylated",68201-46-7,계면활성제,C,S,S,S,S,,,,,,,H,,,,,,,,,,,,,
425,미네랄오일(White),"Mineral Oil, White",8042-47-5,"착향제, 헤어컨디셔닝제, 피부보호제, 피부컨디셔닝제(유연제), 피부컨디셔닝제(수분차단제), 용제",C,X,X,X,X,,,,,,,G,,,,,,,,,H317,,,,
426,센티드제라늄꽃오일,Pelargonium Graveolens Flower Oil,8000-46-2,향료,C,S,S,X,S,,,,,,1,,,,,,,,R,,H317,,,H318,
427,일랑일랑꽃오일,Cananga Odorata Flower Oil,8006-81-3,,C,S,S,X,S,,,,,,,,,,,,,,R,,H317,H361,,,
428,알킬폴리글루코사이드(C8-10),Alkyl polyglucoside (C8-10),68515-73-1,계면활성제-세정제,B,X,S,L,X,,,,,,,G,,,,,,,,,,,,H318,
429,알킬폴리글루코사이드(C8-16),Alkyl polyglucoside (C8-16),110615-47-9,계면활성제-세정제,B,X,S,L,X,,,,,,,G,,,,,,,,,H317,,,H318,
430,폴라사카라이드,Polysaccharide,,,,,,,,,,,,,,,,,,,,,,,,,,,
431,설페이티드캐스터오일,Sulfated Castor Oil,8002-33-3,계면활성제-세정제,,,,,,,,,,,,,,,,,,,,,,,,H318,
432,발삼첨가물,알 수 없는 성분명,,,,,,,,,,,,,,,,,,,,,,,,,,,
433,큰잎라임꽃추출물,Tilia Platyphyllos Flower Extract,,피부컨디셔닝제(기타),C,X,X,X,X,,,,,,,,,,,,,,,,,,,,
434,하이드롤라이즈드밀글루텐,Hydrolyzed Wheat Gluten,100684-25-1,"모발컨디셔닝제, 피부컨디셔닝제",C,X,X,X,X,,,,,,,,,,,,,,,,,,,H318,
435,소듐알킬설페이트(C12-18),"Sulfuric acid, C12-18-alkyl esters, sodium salts",68955-19-1,"변성제, 계면활성제-세정제",C,X,S,L,L,,,,,,,G,1,,,,,사용량/사용방법에 따라 B~C등급,,,,,,H318,
436,피이지-4레이프씨드아마이드,PEG-4 Rapeseedamide ,85536-23-8,"계면활성제-유화제, 점증제-수용성",C,S,S,S,S,,,,,,,,,,,,,,,,,,,,
437,선플라워로일메틸글루카마이드,Sunfloweroyl Methylglucamide,,,,,,,,,,,,,,,,,,,,,,,,,,,
438,포믹애씨드,Formic Acid,64-18-6,"착향제, pH 조정제, 살균보존제",F,S,H,X,X,S,S,,,1,1,G,,,,,,사용량/사용방법에 따라 C~F등급,,H335,H314,H361,,H318,
439,쿠마린,Coumarin,91-64-5,향료,C,X,S,X,X,,,,S,,,,,,,,,,R,H335,H317,,H351,H318,
440,왕귤추출물,Citrus Grandis (Grapefruit) Fruit Extract ,90045-43-5,피부컨디셔닝제,C,S,S,X,S,,,,,,,,,,,,,,,,,,,,
441,레몬추출물,Citrus Limon (Lemon) Extract,84929-31-7,"향료, 피부컨디셔닝제, 수분증발차단제",C,S,S,S,S,,,,,,,,,,,,,,R,,H317,,,,
442,글라이콜다이스테아레이트,Glycol Distearate,627-83-8,"피부컨디셔닝제(수분차단제), 점도증가제(비수성)",B,X,X,X,X,,,,,,,G,,,,,,,,,,,,,
443,에탄올아민,Ethanolamine ,141-43-5,pH 조절제,F,M,H,X,X,S,S,,,,1,Y,,,,,,사용량/사용방법에 따라 C~F등급,,H334,H317,H361,,H318,
444,모노소듐시트레이트,Monosodium Citrate,18996-35-5,pH 조절제,A,N,N,N,N,,,,,,,G,,,,,,,,,,,,,
445,석류추출물,Punica Granatum Fruit Extract,84961-57-9,피부컨디셔닝제,C,X,X,X,X,,,,,,,,,,,,,,,,,,,,
446,소듐코코에이트,Sodium Cocoate,61789-31-9,"계면활성제-세정제, 계면활성제-유화제",A,X,L,L,X,,,,,,,G,,,,,,,,,,,,,
447,소듐올리베이트,Sodium Olivate,61789-88-6,"계면활성제-세정제, 계면활성제-유화제, 점증제-비수용성",,,,,,,,,,,,G,,,,,,,,,,,,,
448,소듐포메이트,Sodium Formate,141-53-7,살균보존제,B,X,X,X,X,,,,,,,G,,,,,,,,,,,,,
449,다이소듐다이스티릴바이페닐다이설포네이트,Disodium Distyrylbiphenyl Disulfonate,27344-41-8,"헤어컨디셔닝제, 표면조정제",D,X,X,X,X,,,,,,,,,,,,,,,,,,,H318,
450,아스코빅애씨드,Ascorbic Acid,50-81-7,"산화방지제, 향료, pH 조절제, 피부컨디셔닝제",,,,,,,,,,,,G,,,,,,,,,,,,H318,
451,식물성오일,Vegetable(Olus) Oil,68956-68-3,"모발컨디셔닝제, 수분증발차단제",A,X,L,L,X,,,,,,,,,,,,,,,,,,,,
452,스위트아몬드오일,Prunus Amygdalus Dulcis (Sweet Almond) Oil,8007-69-0,"향료, 피부컨디셔닝제, 수분증발차단제",C,X,X,X,S,,,,,,,G,,,,,,,,,,,,,
453,2-페녹시프로판올,2-Phenoxypropanol,4169-04-04,,,,,,,,,,,,,,,,,,,,,,,,,H318,
454,페녹시이소프로판올,Phenoxyisopropanol,770-35-4,"용제, 살균보존제",C,X,X,X,X,,,,,,,,,,,,,,,,,,,H318,
455,판테놀,Panthenol,81-13-0,모발컨디셔닝제,,,,,,,,,,,,H,,,,,,,,,,,,,
456,하이드롤라이즈드식물성단백질,Hydrolyzed Vegetable Protein,100209-45-8,"모발컨디셔닝제, 피부컨디셔닝제",,,,,,,,,,,,,,,,,,,,,,,,,
457,폴리비닐피리딘엔옥사이드,PVNO,26715-00-4,,,,,,,,,,,,,,,,,,,,,,,,,,
458,카나우바왁스,Copernicia Cerifera (Carnauba) Wax,8015-86-9,"피막형성제, 피부컨디셔닝제(유연제)",C,X,X,L,X,,,,,,,G,,,,,,,,,,,,,
459,"올리브오일지방산, 트리에탄올아민염","Fatty acids, olive-oil, compds. with triethanolamine",93572-00-0,,,,,,,,,,,,,,,,,,,,,,,,,,
460,"린씨드애씨드, 트리에탄올아민염","Linseed Acid, Triethanolamine salt",,,,,,,,,,,,,,,,,,,,,,,,,,,
461,에틸글리세린아세탈레불리네이트,Ethyl Glycerin Acetal Levulinate,902272-78-0,용제,,,,,,,,,,,,,,,,,,,,,,,,,
462,에틸레불리네이트프로필렌글리콜케탈,Ethyl Levulinate Propylene Glycol Ketal,57197-36-1,,C,X,X,X,X,,,,,,,,,,,,,,,,,,,,
463,폴리쿼터늄-95,Polyquarternium-95,,,C,X,X,X,X,,,,,,,,,1,,,,,,,,,,,
464,메틸에스터설포네이트,Fatty Acid Methyl Ester Sulfonates,93348-22-2,,C,X,X,X,X,,,,,,,,,,,,,,,,,,,,
465,소이메틸에스터에톡실레이트,Soy methyl ester ethoxylate,864529-51-1,,,,,,,,,,,,,,,,,,,,,,,,,,
466,만난아제,Mannanase,60748-69-8,,B,S,X,X,X,,,,,,,,,,,,,,,,,,,,
467,소듐카복시메틸이눌린,Sodium Carboxymethyl Inulin,430439-54-6,"금속이온봉쇄제, 점도증가제(수성)",C,X,X,X,X,,,,,,,G,,,,,,,,,,,,,
468,라우레스-9,Laureth-9,3055-99-0,계면활성제-유화제,C,S,S,S,S,,,,,,,,,,,,,,,,,,,H318,
469,피이지600데실에터,PEG 600 decyl ether,26183-52-8,,,,,,,,,,,,,G,,,,,,,,,,,,H318,
470,폴리에스터,Polyester,,,C,X,X,X,X,,,,,,,,,,,,,,,,,,,,
471,아이소프로판올아민,Isopropanolamine,78-96-6,pH 조정제,C,X,X,X,X,,,,,,,,,,,,,,,,H314,,,H318,
472,카프릴글루코사이드,Capryl glucoside,,,B,X,S,L,X,,,,,,,G,,,,,,,,,,,,,
473,마편초잎추출물,Verbena Officinalis Leaf Extract,84961-67-1,"향료, 피부컨디셔닝제",C,X,X,X,X,,,,,,,,,,,,,,,,H317,,,,
474,솔비탄세스퀴옥타노에이트,Sorbitan Sesquioctanoate,,,,,,,,,,,,,,,,,,,,,,,,,,,
475,사포닌,Saponins," 11006-75-0, 8047-15-2","계면활성제(세정제), 계면활성제(유화제)",,,,,,,,,,,,,,,,,,,,,H317,,,,
476,비타민나무열매추출물,Hippophae Rhamnoides Fruit Extract ,90106-68-6,피부컨디셔닝제(기타),C,X,X,X,X,,,,,,,,,,,,,,,,,,,,
477,제주꽃추출물,알 수 없는 성분명,,,,,,,,,,,,,,,,,,,,,,,,,,,
478,해수,Sea Water,,"보습제, 피부컨디셔닝제(보습제), 용제",,,,,,,,,,,,,,,,,,,,,,,,,
479,동백나무씨오일,Camellia Japonica Seed Oil ,223748-13-8,피부컨디셔닝제(수분차단제),C,X,X,X,S,,,,,,,,,,,,,,,,,,,,
480,다이소듐코코암포다이아세테이트,Disodium Cocoamphodiacetate,68650-39-5,"헤어컨디셔닝제, 계면활성제(세정제), 계면활성제(거품촉진제), 계면활성제(친수제)",,,,,,,,,,,,,,,,,,,,,,,,H318,
481,서양유채꽃추출물,Brassica Napus Flower Extract,,피부컨디셔닝제(기타),,,,,,,,,,,,,,,,,,,,,,,,,
482,팜오일비누,Palm oil soap,,,,,,,,,,,,,,,,,,,,,,,,,,,
483,라우레스-6,Laureth-6,3055-96-7,계면활성제-유화제,C,S,S,S,S,,,,,,,,,,,,,,,,,,,H318,
484,오렌지껍질오일,Citrus Aurantium Dulcis (Orange) Peel Oil,8008-57-9,"착향제, 피부컨디셔닝제(기타)",C,S,S,S,S,,,,,,1,Y,,,,,,,,,H317,,,,
485,감마-데카락톤,gamma-Decalactone,706-14-9,,C,X,X,X,X,,,,,,,H,,,,,,,,,,,,,
486,잇꽃씨오일,Carthamus Tinctorius (Safflower) Seed Oil ,8001-23-8,"향료, 수분증발차단제",C,X,X,X,S,,,,,,,G,,,,,,,,,,,,,
487,부쿠잎오일,Buchu leaf oil,68650-46-4,,C,X,X,X,S,,,,,,,,,,,,,,,,H317,,,,
488,마닐라엘레미트리검비휘발물,Canarium Luzonicum Gum Nonvolatiles ,8023-89-0,"착향제, 헤어컨디셔닝제",C,S,S,X,S,,,,,,,,,,,,,,,,H317,,H351,,
489,베르가모트오일,Citrus Aurantium Bergamia (Bergamot) Fruit Oil,8007-75-8,착향제,C,S,S,X,S,,,,,,,,,,,,,,,,H317,,,H318,
490,필리핀오렌지껍질오일,Citrus Nobilis (Mandarin Orange) Peel Oil,8008-31-9,"착향제, 피부컨디셔닝제(기타)",C,S,S,X,S,,,,,,1,,,,,,,,,,H317,,,,
491,탄젤로오일,Tangelo oil,72869-73-9,,C,X,X,X,X,,,,,,,,,,,,,,,,H317,,,,
492,카멜그라스오일,Cymbopogon Schoenanthus Oil,8007-02-01,착향제,C,S,S,X,S,,,,,,1,,,,,,,,,,H317,,,H318,
493,세드롤,Cedrol,77-53-2,"착향제, 피부컨디셔닝제(유연제), 피부컨디셔닝제(수분차단제)",C,X,X,X,X,,,,,,,,,,,,,,,,,,,,
494,실론시나몬추출물(육계추출물),Cinnamomum Zeylanicum Bark Extract,84649-98-9,"산화방지제, 수렴제, 피부컨디셔닝제(유연제), 피부컨디셔닝제(보습제), 피부컨디셔닝제(기타), 피부보호제",D,X,S,X,X,,,,,,,,,,,,,사용량/사용방법에 따라 C~D등급,R,,H317,,,,
495,비터오렌지껍질오일,Citrus Aurantium Amara (Bitter Orange) Peel Oil,68916-04-1," 착향제, 피부컨디셔닝제(기타)",C,S,S,X,S,,,,,,,,,,,,,,,,H317,,,H318,
496,레몬껍질오일,Citrus Limon (Lemon) Peel Oil,8008-56-8,"착향제, 피부컨디셔닝제(기타)",C,S,S,X,S,,,,,,,,,,,,,,,,H317,,,,
497,고수열매오일,Coriandrum Sativum (Coriander) Fruit Oil,8008-52-4,"감미제, 향료",C,S,S,X,S,,,,,,1,,,,,,,,,H335,H317,,,,
498,소두구씨오일,Elettaria Cardamomum Seed Oil,8000-66-6,향료,B,X,S,X,S,,,,,,,,,,,,,,,,H317,,,,
499,클로브잎오일,Eugenia Caryophyllus (Clove) Leaf Oil,8000-34-8,"향료, 피부컨디셔닝제",C,X,S,X,X,,,,,,,,,,,,,,R,,H317,,,,
500,육두구커넬오일,Myristica Fragrans (Nutmeg) Kernel Oil,"8007-12-3, 8008-45-5","감미제, 향료, 피부컨디셔닝제",C,X,X,X,S,,,,,,,,,,,,,사용량/사용방법에 따라 B~C등급,,,H317,,H350,,
501,생강오일,Zingiber Officinale (Ginger) Root Oil,8007-08-07,"감미제, 향료, 피부컨디셔닝제",C,X,X,X,S,,,,,,,,,,,,,사용량/사용방법에 따라 B~C등급,,H335,H317,,,,
502,소듐라우레스설페이트(C12-14),"Alcohols, C12-14, ethoxylated, sulfates, sodium salts",68891-38-3,계면활성제,C,S,S,S,S,,,,,,,G,1,,,,,,,,,,,H318,
503,2-부톡시에탄올,2-Butoxyethanol,111-76-2,,F,S,S,S,S,S,S,S,,,,,,,,,,사용량/사용방법에 따라 C~F등급,,,H317,H361,,,
504,실리콘오일,Silicone oil,63148-62-9,,D,X,X,X,X,,,,,,1,Y,,,,,,,,,H314,H361,,H318,
505,트리에탄올아민-에스터쿼트,알 수 없는 성분명,91995-81-2,"정전기방지제, 헤어컨디셔닝제",D,M,X,X,X,,,,,,,G,,1,,,,,,,,,,,
506,"알코올에톡실레이트(C13, 6EO)","Alcohol ethoxylates (C13, 6EO)",,,,,,,,,,,,,,,,,,,,,,,,,,,
507,알파-아이소메틸아이오논,Alpha-Isomethyl Ionone,127-51-5,"착향제, 피부컨디셔닝제(기타)",C,X,S,X,X,,,,,,,,,,,,,,R,,H317,,,,
508,적색106호(CI 45100),Acid Red 52(CI 45100) ,3520-42-1,착색제,C,X,X,X,X,,,,,,,G,,,,1,,,,H335,H317,,,,
509,애씨드블루80(CI 61585),Acid Blue 80(CI 61585) ,4474-24-2,착색제,C,X,X,X,X,,,,,,,Y,,,,1,,,,,,,,,
510,폴리프로필렌테레프탈레이트,Polypropylene Terephthalate,,"유화안정제, 피부컨디셔닝제(기타) ",C,X,X,X,X,,,,,,,,,,,,,,,,,,,,
511,소듐다이에틸렌트라이아민펜타메틸렌포스포네이트,Sodium Diethylenetriamine Pentamethylene Phosphonate ,22042-96-2,금속이온봉쇄제,,,,,,,,,,,,Y,,,,,,,,,H314,,,H318,
512,"C10-13알킬벤젠설포닉애씨드,소듐염","Benzenesulfonic acid, mono-C10-13-alkyl derivs., sodium salts","90194-45-9, 68411-30-3",,C,X,X,X,X,,,,,,1,G,,,,,,,,,,,,H318,
513,"아지리딘,호모폴리머,에톡시레이티드","Aziridine, homopolymer, ethoxylated",68130-99-4,,C,X,X,X,X,,,,,,,,,,,,,,,,,,,,
514,에톡실레이티트알코올(C13-15),"Alcohol, (C=13-15), ethoxylated",64425-86-1,,,,,,,,,,,,,,,,,,,,,,,,,H318,
515,폴리비닐이미다졸/폴리비닐피롤리돈,PVI/PVP (Polyvinylimidazole/Polyvinylpyrrolidone),87865-40-5,,,,,,,,,,,,,,,,,,,,,,,,,,
516,황색4호(CI 19140),Acid Yellow 23(CI 19140),1934-21-0,착색제,D,X,X,S,S,,,,,,,G,,,,1,,사용량/사용방법에 따라 C~D등급,,H334,H317,H361,,,
517,트리소듐시트레이트,Trisodium citrate,68-04-2 ,"pH 완충제, 금속이온봉쇄제, 향료, pH 조절제",A,N,N,N,N,,,,,,,G,,,,,,,,,,,,,
518,소듐메타보레이트,Sodium metaborate,7775-19-1,,C,X,X,X,X,,,,,,,,,,,,,,,,,H360,,,
519,폴리디메칠실록산,Polydimethylsiloxane,63148-62-9,,D,X,X,X,X,,,,,,1,Y,,,,,,,,,H314,H361,,H318,
520,에톡실레이티드알코올(C12-18),"Alcohols, C12-18, ethoxylated",68213-23-0,,C,S,S,S,S,,,,,,1,G,,,,,,,,,,,,H318,
